1;0;0;0;1.62
1;0;10;0;1.771
1;0;20;0;1.819
1;0;30;0;1.974
1;0;40;0;2.129
1;0;50;0;2.219
1;1;0;0;2.375
1;1;10;0;2.445
1;1;20;0;2.547
1;1;30;0;2.627
1;1;40;0;2.715
1;1;50;0;2.782
1;2;0;0;2.849
1;2;10;0;2.89
1;2;20;0;2.896
1;2;30;0;2.947
1;2;40;0;2.934
1;2;50;0;2.917
1;3;0;0;2.873
1;3;10;0;2.865
1;3;20;0;2.786
1;3;30;0;2.708
1;3;40;0;2.643
1;3;50;0;2.52
1;4;0;0;2.414
1;4;10;0;2.265
1;4;20;0;2.129
1;4;30;0;1.982
1;4;40;0;1.837
1;4;50;0;1.665
1;5;0;0;1.487
1;5;10;0;1.289
1;5;20;0;1.112
1;5;30;0;0.91
1;5;40;0;0.718
1;5;50;0;0.519
1;6;0;0;0.336
1;6;10;0;0.132
1;6;20;0;-0.08
1;6;30;0;-0.286
1;6;40;0;-0.479
1;6;50;0;-0.673
1;7;0;0;-0.872
1;7;10;0;-1.056
1;7;20;0;-1.239
1;7;30;0;-1.406
1;7;40;0;-1.555
1;7;50;0;-1.686
1;8;0;0;-1.808
1;8;10;0;-1.899
1;8;20;0;-1.968
1;8;30;0;-2.006
1;8;40;0;-2.015
1;8;50;0;-1.994
1;9;0;0;-1.934
1;9;10;0;-1.852
1;9;20;0;-1.735
1;9;30;0;-1.594
1;9;40;0;-1.433
1;9;50;0;-1.27
1;10;0;0;-1.086
1;10;10;0;-0.881
1;10;20;0;-0.682
1;10;30;0;-0.474
1;10;40;0;-0.254
1;10;50;0;-0.047
1;11;0;0;0.149
1;11;10;0;0.336
1;11;20;0;0.515
1;11;30;0;0.676
1;11;40;0;0.832
1;11;50;0;1.003
1;12;0;0;1.145
1;12;10;0;1.3
1;12;20;0;1.454
1;12;30;0;1.593
1;12;40;0;1.749
1;12;50;0;1.91
1;13;0;0;2.056
1;13;10;0;2.209
1;13;20;0;2.353
1;13;30;0;2.458
1;13;40;0;2.622
1;13;50;0;2.703
1;14;0;0;2.821
1;14;10;0;2.926
1;14;20;0;3.007
1;14;30;0;3.041
1;14;40;0;3.088
1;14;50;0;3.119
1;15;0;0;3.131
1;15;10;0;3.13
1;15;20;0;3.123
1;15;30;0;3.052
1;15;40;0;2.999
1;15;50;0;2.945
1;16;0;0;2.858
1;16;10;0;2.748
1;16;20;0;2.655
1;16;30;0;2.522
1;16;40;0;2.381
1;16;50;0;2.25
1;17;0;0;2.087
1;17;10;0;1.927
1;17;20;0;1.769
1;17;30;0;1.567
1;17;40;0;1.388
1;17;50;0;1.19
1;18;0;0;1.002
1;18;10;0;0.81
1;18;20;0;0.591
1;18;30;0;0.388
1;18;40;0;0.186
1;18;50;0;-0.029
1;19;0;0;-0.228
1;19;10;0;-0.42
1;19;20;0;-0.637
1;19;30;0;-0.845
1;19;40;0;-1.029
1;19;50;0;-1.214
1;20;0;0;-1.389
1;20;10;0;-1.542
1;20;20;0;-1.656
1;20;30;0;-1.76
1;20;40;0;-1.812
1;20;50;0;-1.836
1;21;0;0;-1.837
1;21;10;0;-1.807
1;21;20;0;-1.711
1;21;30;0;-1.606
1;21;40;0;-1.478
1;21;50;0;-1.314
1;22;0;0;-1.126
