cycle;name;location.x;location.y;location.z;name;id;element_id;district_code;command;label;cost;initial_application_round;command_round;is_applied;round_delay;is_delayed;action_type;previous_lu_name;is_expropriation;is_in_protected_area;is_in_coast_border_area;is_in_risk_area;is_inland_dike;strategy_profile;lever_activation_time;length_coast_def;activated_levers;should_wait_lever_to_activate;a_lever_has_been_applied
768;Player_Action0;92.81822505259349;82.78325208441784;0.0;Player_Action0;17093_1;890;17093;1;Changer en zone à urbaniser;750;2;1;true;0;false;PLAYER_ACTION_TYPE_LU;A;false;false;false;false;false;BUILDER;0.0;0;[];false;false
768;Player_Action1;99.35850407172514;33.673995356747646;0.0;Player_Action1;17093_2;857;17093;1;Changer en zone à urbaniser;750;2;1;true;0;false;PLAYER_ACTION_TYPE_LU;A;false;true;false;true;false;BUILDER;0.0;0;[];false;false
768;Player_Action2;97.07610874902456;8.924861403442485;0.0;Player_Action2;17411_1;35;17411;7;Démanteler une digue;2218;2;1;true;0;false;PLAYER_ACTION_TYPE_COAST_DEF;nil;false;true;true;true;false;WITHDRAWAL;0.0;1109;[];false;false
768;Player_Action3;78.79690471977457;46.17196621137302;0.0;Player_Action3;17411_2;9;17411;29;Installer des ganivelles;282;2;1;true;0;false;PLAYER_ACTION_TYPE_COAST_DEF;nil;false;true;true;false;false;SOFT_DEFENSE;0.0;565;[];false;false
768;Player_Action4;51.90388314582041;64.55565337061327;0.0;Player_Action4;17093_3;22;17093;5;Rénover une digue;334;2;1;true;0;false;PLAYER_ACTION_TYPE_COAST_DEF;nil;false;true;true;true;false;BUILDER;0.0;334;[];false;false
768;Player_Action5;34.974510488472866;74.53289288055406;0.0;Player_Action5;17093_4;864;17093;4;Changer en zone naturelle;2828;8;3;false;0;false;PLAYER_ACTION_TYPE_LU;U;true;true;true;false;false;WITHDRAWAL;0.0;0;[];false;false
768;Player_Action6;46.1962422916726;23.016738012190295;0.0;Player_Action6;17093_5;827;17093;4;Changer en zone naturelle;2828;8;3;false;0;false;PLAYER_ACTION_TYPE_LU;U;true;false;true;false;false;WITHDRAWAL;0.0;0;[];false;false
768;Player_Action7;55.67597053212587;52.310776826443536;0.0;Player_Action7;17093_6;863;17093;4;Changer en zone naturelle;4176;8;3;false;0;false;PLAYER_ACTION_TYPE_LU;U;true;false;true;false;false;WITHDRAWAL;0.0;0;[];false;false
768;Player_Action8;42.434899288120484;33.35396421313527;0.0;Player_Action8;17093_7;1008;17093;4;Changer en zone naturelle;1386;8;3;false;0;false;PLAYER_ACTION_TYPE_LU;U;true;true;true;true;false;WITHDRAWAL;0.0;0;[];false;false
768;Player_Action9;58.644918085639205;92.65093159053059;0.0;Player_Action9;17093_8;900;17093;4;Changer en zone naturelle;1649;8;3;false;0;false;PLAYER_ACTION_TYPE_LU;U;true;true;true;true;false;WITHDRAWAL;0.0;0;[];false;false
768;Player_Action10;58.81774955008818;29.18519632327241;0.0;Player_Action10;17140_1;1580;17140;4;Changer en zone naturelle;100;4;3;true;0;false;PLAYER_ACTION_TYPE_LU;A;false;true;true;true;false;WITHDRAWAL;0.0;0;[];false;false
768;Player_Action11;71.092284223823;45.902432021230396;0.0;Player_Action11;17140_2;1452;17140;4;Changer en zone naturelle;100;4;3;true;0;false;PLAYER_ACTION_TYPE_LU;A;false;false;true;false;false;SOFT_DEFENSE;0.0;0;[];false;false
768;Player_Action12;79.00696620226626;79.81095785439595;0.0;Player_Action12;17093_9;22;17093;8;Rehausser une digue;668;6;3;false;0;false;PLAYER_ACTION_TYPE_COAST_DEF;nil;false;true;true;true;false;BUILDER;0.0;334;[];false;false
768;Player_Action13;79.76673515047784;26.650278283813066;0.0;Player_Action13;17385_1;47;17385;7;Démanteler une digue;52;4;3;true;0;false;PLAYER_ACTION_TYPE_COAST_DEF;nil;false;true;true;false;false;WITHDRAWAL;0.0;26;[];false;false
768;Player_Action14;7.38274932117492;34.94777213258664;0.0;Player_Action14;17385_2;43;17385;7;Démanteler une digue;712;4;3;true;0;false;PLAYER_ACTION_TYPE_COAST_DEF;nil;false;true;true;true;false;WITHDRAWAL;0.0;356;[];false;false
