(string(machine_time - EXPERIMENT_START_TIME),self.district_code) + data
119480.0,17140,2,17140_1,2,1827,PLAYER_ACTION_TYPE_LU,false,N,false,100
161312.0,17140,2,17140_2,3,1846,PLAYER_ACTION_TYPE_LU,false,N,false,100
161327.0,17140,2,17140_3,3,1812,PLAYER_ACTION_TYPE_LU,false,N,false,100
161327.0,17140,2,17140_5,3,1775,PLAYER_ACTION_TYPE_LU,false,N,false,100
161343.0,17140,2,17140_6,3,1762,PLAYER_ACTION_TYPE_LU,false,N,false,100
161359.0,17140,2,17140_7,3,1748,PLAYER_ACTION_TYPE_LU,false,N,false,100
161374.0,17140,2,17140_8,3,1737,PLAYER_ACTION_TYPE_LU,false,N,false,100
283656.0,17140,7,17140_9,4,37,PLAYER_ACTION_TYPE_COAST_DEF,false,nil,false,2221
1779863.0,17140,2,17140_1,7,2397,PLAYER_ACTION_TYPE_LU,false,AU,false,100
2942234.0,17140,2,17140_1,9,2394,PLAYER_ACTION_TYPE_LU,false,AU,false,100
3165459.0,17140,2,17140_1,9,2378,PLAYER_ACTION_TYPE_LU,false,AU,false,100
